Year (dec),E (m),N (m),Z (m),eUnc,nUnc,zUnc,eCov,nCov,zCov,Year,Month,Day
2014.00136893,0.555975,0.101905,-0.111655,0.000867,0.000718,0.003349,0.021108,-0.019911,-0.032188,2014,1,1
2014.00410678,0.555632,0.101144,-0.114662,0.000909,0.000760,0.003519,0.038727,-0.051420,-0.028183,2014,1,2
2014.00684463,0.554165,0.100260,-0.119861,0.000869,0.000719,0.003397,0.021793,-0.018124,-0.038353,2014,1,3
2014.00958248,0.558663,0.103065,-0.114915,0.000868,0.000719,0.003386,0.023704,-0.019947,-0.042402,2014,1,4
2014.01232033,0.558797,0.101739,-0.111173,0.000887,0.000723,0.003421,0.021478,-0.012170,-0.049571,2014,1,5
2014.01505818,0.557387,0.102704,-0.111260,0.000894,0.000730,0.003459,0.029101,-0.030911,-0.058828,2014,1,6
2014.01779603,0.557366,0.104701,-0.108099,0.000889,0.000727,0.003412,0.016852,-0.010053,-0.042559,2014,1,7
2014.02053388,0.558717,0.102206,-0.115322,0.000872,0.000722,0.003400,0.025930,-0.023608,-0.021372,2014,1,8
2014.02327173,0.557229,0.102025,-0.116772,0.000874,0.000735,0.003458,0.033903,-0.026519,-0.027628,2014,1,9
2014.02600958,0.558000,0.101140,-0.113029,0.000891,0.000760,0.003532,0.035242,-0.044444,-0.051195,2014,1,10
2014.02874743,0.558593,0.101104,-0.111551,0.000888,0.000756,0.003480,0.018369,-0.042195,-0.046935,2014,1,11
2014.03148528,0.559430,0.101802,-0.118899,0.000916,0.000759,0.003520,0.038154,-0.025385,-0.031011,2014,1,12
2014.03422313,0.559466,0.102407,-0.111799,0.000867,0.000719,0.003378,0.017033,-0.023218,-0.029796,2014,1,13
2014.03696099,0.557467,0.101360,-0.114586,0.000871,0.000724,0.003423,0.014271,-0.028173,-0.035437,2014,1,14
2014.03969884,0.560053,0.102597,-0.113616,0.000868,0.000715,0.003363,0.016423,-0.014399,-0.033693,2014,1,15
2014.04243669,0.557663,0.104362,-0.109560,0.000934,0.000782,0.003660,0.038690,-0.047559,-0.040524,2014,1,16
2014.04517454,0.557079,0.104067,-0.102411,0.000879,0.000731,0.003423,0.014841,-0.015032,-0.013828,2014,1,17
2014.04791239,0.559655,0.104348,-0.108050,0.000860,0.000721,0.003374,0.018661,-0.016731,-0.042313,2014,1,18
2014.05065024,0.558811,0.105771,-0.116145,0.000860,0.000714,0.003343,0.014071,-0.017652,-0.022331,2014,1,19
2014.05338809,0.559886,0.106108,-0.112037,0.000864,0.000714,0.003359,0.017476,-0.015832,-0.029417,2014,1,20
2014.05612594,0.558246,0.107271,-0.117095,0.000864,0.000712,0.003354,0.016181,-0.008265,-0.033805,2014,1,21
2014.05886379,0.556893,0.104990,-0.117271,0.000870,0.000724,0.003415,0.007830,-0.014451,-0.028243,2014,1,22
2014.06160164,0.559845,0.104077,-0.105190,0.000898,0.000775,0.003558,0.038143,-0.016512,-0.055177,2014,1,23
2014.06433949,0.558536,0.108531,-0.112726,0.000886,0.000753,0.003497,0.023484,-0.037103,-0.058965,2014,1,24
2014.06707734,0.559913,0.108793,-0.114726,0.000907,0.000788,0.003623,0.019211,-0.071441,-0.063415,2014,1,25
2014.06981520,0.560998,0.108518,-0.105574,0.000887,0.000724,0.003424,0.016539,0.003383,-0.036156,2014,1,26
2014.07255305,0.559628,0.106787,-0.106674,0.000864,0.000721,0.003413,0.025127,-0.005978,-0.031770,2014,1,27
2014.07529090,0.561787,0.105022,-0.102859,0.000900,0.000758,0.003593,0.020870,-0.034954,-0.067005,2014,1,28
2014.07802875,0.562859,0.105520,-0.110389,0.000861,0.000721,0.003398,0.003546,0.011141,-0.034772,2014,1,29
2014.08076660,0.562642,0.107330,-0.114779,0.000911,0.000768,0.003621,-0.012195,-0.022530,-0.014557,2014,1,30
2014.08350445,0.560551,0.107352,-0.112256,0.000921,0.000765,0.003630,0.022197,-0.009246,-0.060517,2014,1,31
2014.08624230,0.564566,0.108028,-0.106613,0.000927,0.000753,0.003641,0.036264,-0.007695,-0.046371,2014,2,1
2014.08898015,0.564128,0.110649,-0.109956,0.000904,0.000755,0.003583,-0.005807,0.002870,-0.061059,2014,2,2
2014.09171800,0.563339,0.108120,-0.106589,0.000892,0.000745,0.003507,-0.006704,0.009530,-0.035788,2014,2,3
2014.09445585,0.559920,0.109084,-0.104461,0.000882,0.000736,0.003492,0.007709,-0.011526,-0.045010,2014,2,4
2014.09719370,0.560883,0.111197,-0.115724,0.000888,0.000722,0.003441,0.005815,0.003704,-0.029554,2014,2,5
2014.09993155,0.559828,0.111437,-0.109995,0.000866,0.000716,0.003408,0.007629,0.001522,-0.042904,2014,2,6
2014.10266940,0.559230,0.114302,-0.112215,0.000885,0.000744,0.003588,0.008606,-0.007365,-0.006382,2014,2,7
2014.10540726,0.560006,0.114047,-0.108736,0.000873,0.000731,0.003521,0.019079,0.005908,-0.039418,2014,2,8
2014.10814511,0.560199,0.112145,-0.108232,0.000864,0.000721,0.003428,0.020780,-0.017995,-0.048993,2014,2,9
2014.11088296,0.563800,0.112656,-0.112751,0.000876,0.000747,0.003594,0.033821,-0.010647,-0.048339,2014,2,10
2014.11362081,0.564323,0.110892,-0.114696,0.000866,0.000723,0.003442,0.015219,-0.003655,-0.048340,2014,2,11
2014.11635866,0.563892,0.111154,-0.107508,0.000863,0.000723,0.003424,0.007348,-0.007768,-0.046014,2014,2,12
2014.11909651,0.560601,0.112639,-0.117689,0.000862,0.000721,0.003397,0.008064,0.000806,-0.032193,2014,2,13
2014.12183436,0.561190,0.111601,-0.105109,0.001012,0.000803,0.003847,0.019078,-0.029012,-0.039745,2014,2,14
2014.12457221,0.563645,0.110360,-0.112061,0.000870,0.000725,0.003442,0.016537,0.004277,-0.031672,2014,2,15
